name,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hailuogou,,,,,,,,,,,,,,,,,,,-172.56,-161.03,-131.51,-177.97,-314.58,-244.57,-93.34,-141.72,-305.61,-257.48,-192.66,-151.62,-165.04,-120.09,-71.4,-115,-155,-145,-631.42,-210.06,-181.11,-317.38,-234.52,-306.2,-369.98,-273.4,-214.03,-128.88,-361.02,-149.3,-182.85,-407,-398.66,-355.18,-151.44,-370.2,-320.19,-321.05,-274.54,,,,
Parlung No.94,,,,,,,,,,,,,,,,,,,-93.85,16.52,-64.08,-139.86,-344.77,49.01,-145.7,139.94,-327.94,90.25,0.52,-455.24,78.68,98.95,-9.06,-82.51,-106.13,42.04,53.4,-63.34,76.42,-271.09,27.91,-67.41,-84.39,-335.67,-27.29,-691.99,-128.18,-65.71,-913,-253.74,-1078.24,-2017.84,-347,-427.1,-173.11,-138.94,-119.5,,,,
Qiyi,,,,,,,,,,,,,,,,,,,35,381.82,347.5,-1,8.71,163.53,-51,236.58,-14.81,207.2,-31,-165,38,-49,-103.36,193.42,-86.81,223.43,172.77,-194.48,-150.14,-151.2,-159.52,46,-2.76,-160.37,-205.19,-810,-361,-634,-1459.87,-1037.47,-667.42,-738.43,-74,-648,-25.78,-96.07,-151.78,,,,
Xiaodongkemadi,,,,,,,,,,,,,,,,,,,-12.25,-528.36,-192.08,-375.31,-669.5,-560.57,146.42,-480.2,-435.68,-294.03,-492.13,-502.32,-646.79,-268.2,525,45,-180,375,210,-510,-570,-495,345,-690,-315,-90,-195,-583,4,-153,-177,-917,-591,-80,-91,-1066,-612.7,-581.82,-582.27,,,,
Muztagh No.15,,,,,,,,,,,,,,,,,,,-127.56,67.33,388.82,87.32,8.7,56.76,-90.09,19.11,-72.31,-67.37,-59.52,128.64,-137.84,316.78,-28.11,21.41,135.92,-96.43,17.99,-14.67,-161.31,-386.23,-19.76,-57.89,118.44,26.26,-0.73,-0.37,-25.45,-64.16,-12.58,45.81,-12.58,27.68,32.34,-29.1,40.92,-1.23,-45.61,,,,
Meikuang,,,,,,,,,,,,,,,,,,,144.58,110.67,-82.57,49.07,-2.02,-15.95,134.18,-55.62,-74.05,141.6,-58,215.54,-27.8,-210.09,274,-90,-300,120,100,-400,-456,121.04,10,-420,-149.91,-191.96,-224.2,-173.66,-119.79,-289.97,109.87,-242.54,36.91,33.07,7.54,-243.11,-13.88,-111.09,-274.46,,,,
NM551,,,,,,,,,,,,,,,,,,,-631.38,-528.96,-749.11,-575.58,-636.71,-320.41,-333.18,113.96,-614.19,-343.01,-321.68,-440.43,-799.52,-421.73,-456.95,-274.91,-451.21,-554.02,-401.66,-418.19,-336.75,-592.63,-342.09,-758.85,-1012.62,-987.03,-1126.92,-594.9,-1094.75,-419.17,-1099,-780.96,223,-1898,-2021,-820,-2694,-1081,-1652,,,,
Kangwure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-250,-640,-484,-460,-308,-251,-507,-397,-229,-685,-496,-574,-479,-728,-1023,-392,-487,-1092,-300,,,,,,,
Urumqi No.1 ,,,87,-188,-33,-167,234,2,374,-374,-70,-456,148,-313,102,262,-708,-125,288,29,180,-110,-84,-335,-652,-45,100,-83,-612,-669,-176,-642,106,52,-706,23,-29,-378,-228,42,-853,-790,-791,-330,-840,-834,-384,-755,-488,-774,-642,-931,63,-1327,-945,-713,-536,-185,-815,-1017,
Baishui Glacier No.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-994,-1017,-1467,-907,-1709,-1872,-1590,-1490,-1872,-1713
Ts．Tuyuksuyskiy,-164.8444039,322.2735538,-429.4075515,-113.898122,-568.8394807,-697.5458768,435.7854449,515.3331481,-34.35041887,48.77246198,219.4871958,-787.819113,193.5671577,108.656688,-340.9219042,116.7008377,-306.9577163,-626.0423234,-460.6903561,-727.934887,-1107.797515,-1483.19117,-525.9373486,-640.3430341,97.03736054,-640.3430341,-549.1760035,-1249.017033,-558.1139477,-535.7690872,-347.1784651,-617.1043792,-466.0531226,-967.471791,-1104.222337,-256.0114345,595.7746457,-449.9648231,-594.7595188,-466.9469171,-1474.253226,-370.4171199,-241.7107238,-128.1988327,-558.1139477,-310.532894,353.5563584,48.77246198,-346.2846707,-979.0911184,-921.8882757,-1357.166157,197.1423353,20.17104062,-321.258427,-1027.356017,-352.5412316,-1093.496804,,,
No． 125 ( Vodopadniy) ,,,,,,,,,,,,,,,,,,,,,80.38785047,-192.4158879,-782.182243,-117.8364486,-6.457943925,-313.6074766,161.3457944,291.8598131,213.8457944,124.0560748,189.3130841,161.3457944,102.4672897,139.7570093,-416.1542056,-12.34579439,105.411215,-208.1168224,49.47663551,-118.3271028,-167.8831776,-983.8411215,-86.92523364,-186.0373832,-136.4813084,-291.5280374,-322.9299065,-223.3271028,65.17757009,-257.6728972,-282.2056075,-719.8691589,378.7056075,192.2570093,-447.0654206,-949.9859813,,,,,
Maliy Aktru ,,,,,,-403.4765527,-340.7721812,-278.0678098,-565.9780224,-376.9817478,297.7526156,-16.65240193,293.3368148,118.4711028,257.1272482,73.42993455,104.3405402,-1473.866669,405.4981553,684.5767663,495.5804918,-407.8923535,-579.2254248,113.1721418,-313.3942162,-659.5929995,158.2133101,316.298979,243.8798457,41.63616873,172.3438726,473.5014877,221.8008417,136.134306,-543.0158582,-165.0233091,347.2095846,-151.7759066,162.6291109,-134.1127034,-44.03036694,-1230.997624,-106.7347384,-214.4802781,-187.9854733,-412.3081543,-367.2669861,-147.3601058,162.6291109,-138.5285042,-336.3563804,-867.1356375,590.0786291,302.1684164,-515.6378932,-1101.17308,,,,,
Leviy Aktru ,,,,,,,,,,,,,,,,,,,,,238.0903967,-371.42373,-634.70498,-20.9831621,-325.7402255,-409.8940497,279.56621,318.0365297,146.7233876,54.75527968,199.6200771,367.3266267,28.30693493,51.14868721,-482.025899,-188.6897118,241.6969892,-360.0028539,-28.79744578,-173.6622432,-154.4270833,-1122.196062,-143.0062072,-295.6852882,-238.5809075,-375.6314212,-402.079766,-261.4226598,36.12121861,-200.1105879,-322.133633,-813.8324058,470.114512,203.8277683,-478.4193065,-1027.22246,,,,,
